lat,lng,sv,date
32.828099,-105.974799,True,2024-04
32.827438,-105.974912,True,2024-04
32.826108,-105.975132,False,
32.826107,-105.976982,False,
32.825444,-105.975248,False,
32.824762,-105.975360,False,
32.823441,-105.975580,False,
32.822789,-105.975688,False,
32.821483,-105.975909,False,
32.820839,-105.976010,False,
32.819511,-105.976239,False,
32.817543,-105.976568,False,
32.816126,-105.976805,False,
32.815568,-105.976895,False,
32.814251,-105.977117,False,
32.813641,-105.977220,False,
32.812270,-105.977448,False,
32.811605,-105.977558,True,2023-06
32.810945,-105.977668,True,2024-04
32.809649,-105.977882,True,2024-04
32.808969,-105.977998,True,2024-04
32.807712,-105.978210,True,2013-06
32.807283,-105.978294,True,2015-08
32.805673,-105.978531,True,2025-12
32.803721,-105.978855,False,
32.804037,-105.980442,True,2024-04
32.802199,-105.979114,False,
32.801515,-105.979224,False,
32.800404,-105.979410,True,2024-04
32.798864,-105.979659,False,
32.797526,-105.979889,False,
32.796459,-105.980067,False,
32.795192,-105.980276,False,
32.792563,-105.980724,False,
32.791239,-105.980932,False,
32.789925,-105.981164,False,
32.788581,-105.981383,False,
32.787257,-105.981600,False,
32.786264,-105.981769,False,
32.785921,-105.981837,False,
32.784586,-105.982060,False,
32.783253,-105.982270,False,
32.781957,-105.982482,False,
32.780975,-105.982650,False,
32.778910,-105.982993,False,
32.777373,-105.983235,False,
32.776291,-105.983494,False,
32.775210,-105.983700,False,
32.773916,-105.983947,False,
32.772589,-105.984065,False,
32.771985,-105.984167,False,
32.769956,-105.984500,True,2024-04
32.769272,-105.984617,True,2024-04
32.767422,-105.984922,False,
32.765075,-105.985288,False,
32.763757,-105.985456,False,
32.761111,-105.985959,False,
32.761177,-105.987506,False,
32.759759,-105.986196,False,
32.758421,-105.986419,False,
32.757382,-105.986652,False,
32.756059,-105.986943,False,
32.754733,-105.987236,False,
32.753439,-105.987516,False,
32.752124,-105.987802,False,
32.749616,-105.988375,False,
32.748305,-105.988661,False,
32.747192,-105.988900,False,
32.745871,-105.989140,False,
32.851287,-105.969396,True,2024-04
32.849104,-105.969758,True,2024-04
32.846924,-105.970125,True,2024-04
32.845022,-105.970442,True,2024-04
32.843250,-105.970739,True,2024-04
32.841077,-105.971100,True,2024-04
32.833462,-105.972364,True,2024-05
32.831277,-105.972741,True,2024-05
32.829106,-105.973101,True,2024-05
32.819420,-105.974721,True,2024-05
32.817247,-105.975086,True,2024-05
32.815345,-105.975401,True,2024-04
32.805194,-105.977100,True,2024-04
32.803228,-105.977403,True,2024-05
32.801343,-105.977739,True,2024-04
32.795020,-105.978799,True,2024-05
32.792844,-105.979166,True,2024-04
32.791752,-105.979348,True,2024-04
32.789582,-105.979709,True,2024-04
32.787405,-105.980075,True,2024-04
32.779788,-105.981350,True,2024-04
32.777606,-105.981714,True,2024-04
32.775358,-105.982090,True,2024-04
32.772031,-105.982641,True,2024-04
32.767646,-105.983376,True,2024-04
32.765482,-105.983738,True,2024-04
32.763303,-105.984106,True,2024-04
32.760030,-105.984651,True,2024-04
32.757849,-105.985016,True,2024-04
32.753902,-105.985677,True,2024-04
32.751726,-105.986042,True,2024-04
32.749634,-105.986393,True,2024-04
32.747499,-105.986747,True,2024-05
32.746389,-105.986934,True,2024-05
32.743727,-105.987375,True,2024-04
32.743687,-105.989664,False,
32.742164,-105.990001,False,
32.739524,-105.990570,False,
32.738203,-105.990840,False,
32.736895,-105.991160,False,
32.735645,-105.991519,False,
32.734510,-105.991710,False,
32.733194,-105.991960,False,
32.731887,-105.992261,False,
32.729234,-105.992703,False,
32.727906,-105.992917,False,
32.726596,-105.993155,False,
32.725260,-105.993370,False,
32.723934,-105.993588,False,
32.722612,-105.993820,False,
32.721289,-105.994041,False,
32.719965,-105.994263,False,
32.717750,-105.994635,False,
32.716427,-105.994854,False,
32.713776,-105.995295,False,
32.712449,-105.995517,False,
32.711127,-105.995739,False,
32.709805,-105.995976,False,
32.708480,-105.996195,False,
32.707158,-105.996411,False,
32.705831,-105.996633,False,
32.704515,-105.996872,False,
32.703208,-105.997086,False,
32.701894,-105.997314,False,
32.700535,-105.997542,False,
32.697865,-105.998007,False,
32.696594,-105.998202,False,
32.695274,-105.998429,False,
32.693950,-105.998640,False,
32.692624,-105.998867,False,
32.691303,-105.999091,False,
32.689974,-105.999322,False,
32.688647,-105.999538,False,
32.685997,-105.999982,False,
32.684671,-106.000202,False,
32.683347,-106.000424,False,
32.682023,-106.000644,False,
32.680694,-106.000864,False,
32.679365,-106.001086,False,
32.678042,-106.001301,False,
32.676715,-106.001531,False,
32.675390,-106.001754,False,
32.674067,-106.001973,False,
32.672740,-106.002187,False,
32.670252,-106.002616,False,
32.668932,-106.002835,False,
32.667609,-106.003052,False,
32.666288,-106.003265,False,
32.664961,-106.003482,False,
32.663643,-106.003718,False,
32.662311,-106.003942,False,
32.660985,-106.004160,False,
32.659659,-106.004371,False,
32.658329,-106.004592,False,
32.657001,-106.004816,False,
32.655674,-106.005035,False,
32.654363,-106.005269,False,
32.653266,-106.005451,False,
32.651946,-106.005675,False,
32.650619,-106.005895,False,
32.649293,-106.006104,False,
32.647923,-106.006343,False,
32.646870,-106.006521,False,
32.644435,-106.006916,False,
32.643110,-106.007133,False,
32.640587,-106.007560,False,
32.639491,-106.007746,False,
32.638164,-106.007964,False,
32.636840,-106.008195,False,
32.635512,-106.008408,False,
32.634185,-106.008641,False,
32.632863,-106.008848,False,
32.630184,-106.009297,False,
32.628889,-106.009512,False,
32.627564,-106.009732,False,
32.626236,-106.009955,False,
32.624912,-106.010174,False,
32.623575,-106.010398,False,
32.622248,-106.010621,False,
32.621005,-106.010825,False,
32.619572,-106.011066,False,
32.618455,-106.011252,False,
32.617117,-106.011476,False,
32.614650,-106.011885,False,
32.613322,-106.012107,False,
32.612005,-106.012329,False,
32.610678,-106.012550,False,
32.609585,-106.012733,False,
32.608272,-106.012954,False,
32.607174,-106.013132,False,
32.605851,-106.013355,False,
32.604764,-106.013536,False,
32.603449,-106.013756,False,
32.602024,-106.013992,False,
32.601205,-106.014131,False,
32.598894,-106.014515,False,
32.597619,-106.014726,False,
32.595375,-106.015102,False,
32.593936,-106.015342,False,
32.592764,-106.015537,False,
32.591405,-106.015763,False,
32.590265,-106.015952,False,
32.588923,-106.016175,False,
32.586434,-106.016589,False,
32.585249,-106.016787,False,
32.584141,-106.016968,False,
32.582945,-106.017171,False,
32.581585,-106.017400,False,
32.580304,-106.017612,False,
32.578988,-106.017842,False,
32.577671,-106.018053,False,
32.576526,-106.018242,False,
32.575233,-106.018458,False,
32.572871,-106.018853,False,
32.571555,-106.019075,False,
32.569030,-106.019495,False,
32.567679,-106.019724,False,
32.566350,-106.019940,False,
32.565127,-106.020149,False,
32.563601,-106.020405,False,
32.743738,-105.986551,True,2024-04
32.743577,-105.984255,True,2024-04
32.744220,-105.982474,True,2024-04
32.745554,-105.982487,True,2024-04
32.746884,-105.982486,True,2024-04
32.747993,-105.982490,True,2024-04
32.749125,-105.982491,True,2024-04
32.750320,-105.982496,True,2024-04
32.752364,-105.982506,True,2024-04
32.753840,-105.982508,True,2024-04
32.754626,-105.982516,True,2024-04
32.755869,-105.982520,True,2024-04
32.759287,-105.981944,True,2024-04
32.760275,-105.981788,True,2024-04
32.760231,-105.980512,False,
32.760229,-105.977675,False,
32.760242,-105.974808,False,
32.760228,-105.973413,True,2024-04
32.760213,-105.971222,False,
32.758908,-105.971234,False,
32.757610,-105.971211,False,
32.757614,-105.969846,False,
32.757616,-105.967419,False,
32.800731,-105.974429,True,2024-04
32.800227,-105.971273,True,2024-04
32.799727,-105.968224,True,2024-04
32.799219,-105.965125,True,2024-04
32.798860,-105.962966,True,2024-04
32.799639,-105.960698,False,
32.800797,-105.960695,False,
32.802701,-105.960704,False,
32.797777,-105.956360,True,2024-04
32.797176,-105.952939,True,2024-04
32.796917,-105.951400,True,2024-04
32.796389,-105.948344,True,2024-04
32.795490,-105.948287,False,
32.793552,-105.948178,False,
32.791950,-105.948085,False,
32.790766,-105.948017,False,
32.789617,-105.947942,False,
32.787288,-105.947804,False,
32.785049,-105.947699,False,
32.783811,-105.947642,False,
32.781374,-105.947550,False,
32.779137,-105.947462,False,
32.777933,-105.947423,False,
